_id	OPERADOR	DENOMINACIÓN	TIPO DE OPERADOR	MACRODISTRITO	PLACA	TIPO	MARCA	COLOR
1	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	1324XEK	corolla	TOYOTA	BLANCO
2	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	2146FGN	SPRINTER	TOYOTA	BLANCO
3	Radio Taxi	RADIO MOVIL ALIANZA SUR	Empresa	MACRODISTRITO 5 SUR-AUQUISAMANA	4151EYD	fiesta	FORD	PLATEADO
4	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	1694CAU	COROLLA	TOYOTA	BLANCO
5	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	3111PPR	VOLEEX	NISSAN	CELESTE
6	Radio Taxi	RADIO MOVIL VCOS SERVICE	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	5157NXP	mpv	FOTON	BLANCO
7	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	4676ZXH	COROLLA FIELDER	FOTON	PLATEADO
8	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	4790DNK	EX80	KEYTON	AZUL
9	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1799LHH	COROLLA	TOYOTA	BEIGE
10	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	4813NAP	wish	TOYOTA	GRIS
11	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	1542ZIS	SPRINTER	TOYOTA	VERDE
12	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1835SLX	SPRINTER	TOYOTA	VERDE
13	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	4774XEP	EX80	KEYTON	BLANCO
14	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	1993BLK	COROLLA	TOYOTA	VERDE
15	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	3141KLP	pixo	NISSAN	AZUL METALICO
16	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	2247ZYS	COROLLA	TOYOTA	VERDE
17	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	4711NUF	ALTO	SUZUKI	AZUL METALICO
18	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	2099UXE	AVENIR	NISSAN	DORADO
19	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	3859KGL	COROLLA	TOYOTA	GRIS
20	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	1506IRL	CALDINA	TOYOTA	VERDE
21	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	1769KSA	COROLLA	TOYOTA	BLANCO
22	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	1550HAN	COROLLA	TOYOTA	BLANCO
23	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2695IAN	COROLLA	TOYOTA	AZUL COMBINADO
24	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1849DLF	COROLLA	TOYOTA	VERDE
25	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1833YCC	SPRINTER CARIB	TOYOTA	PLATEADO
26	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2439NZB	PROBOX	TOYOTA	BLANCO
27	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	3818GCK	alto	SUZUKI	PLATA
28	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2867IHG	PROBOX	TOYOTA	BLANCO
29	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	3111PCC	corolla fielder	TOYOTA	AZUL
30	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	2445ALB	PROBOX	TOYOTA	BLANCO
31	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	2928UIL	EC7	GEELY	ROJO
32	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	4033FDK	CELERIO	SUZUKI	MARRON
33	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	1832ZPH	CALDINA	TOYOTA	NEGRO
34	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	2146NPU	CALDINA	TOYOTA	NEGRO
35	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	462PCD	LANSER	MITSUBISHI	VERDE METALICO
36	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	2814RRB	CEVIC	HONDA CIVIC	PLOMO
37	Radio Taxi	RADIO TAXI IMPERIO LA PAZ	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	3156AGU	SWIFT	SUZUKI	GRIS METALICO
38	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2293RGI	sprinter carib	TOYOTA	PLATEADO
39	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1162AYP	COROLLA	TOYOTA	BLANCO
40	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2192NYR	COROLLA	TOYOTA	BLANCO
41	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1462BCP	COROLLA	TOYOTA	VERDE
42	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1491DEC	COROLLA	TOYOTA	PLOMO
43	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	406KRH	CORONA	TOYOTA	ROJO
44	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1772XCG	SPRINTER CARIB	TOYOTA	VERDE COMBINADO
45	Radio Taxi	"RADIO MOVIL MAGNITUD ""M"""	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1886XYB	SPRINTER CARIB	TOYOTA	BLANCO
46	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	5190XIU	V60	KEYTON	ANARANJADO
47	Radio Taxi	PLUS SERVICE	Empresa	MACRODISTRITO 5 SUR-CALACOTO	5209ZPT	gratur	FOTON	PLAYEADO
48	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	4030RYD	CK	GEELY	GRIS
49	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	4546KEE	EX80	KEYTON	DORADO
50	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	3584REL	VERSA	NISSAN	AZUL
51	Radio Taxi	RADIO TAXI DIAMOND	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	4256KYI	CELERIO	SUZUKI	PLATA
52	Radio Taxi	REMISSE SUR RADIO MOVIL	Empresa	MACRODISTRITO 5 SUR-CALACOTO	5240ALB	RUSH	TOYOTA	VINO
53	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	5006TEX	SWIFT	SUZUKI	PLATA
54	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1318NUB	SUNNY	NISSAN	BLANCO
55	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2591SXY	SPRINTER CARIB	TOYOTA	BLANCO
56	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	4268NSC	SWIFT	SUZUKI	PLATA
57	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1613DBX	CALDINA	TOYOTA	BURDEO
58	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2124DGT	SPRINTER CARIB	TOYOTA	NEGRO
59	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	2817HBY	CALDINA	TOYOTA	NEGRO
60	Radio Taxi	TRANS ESTELAR RADIO MOVIL	Empresa	MACRODISTRITO 1 COTAHUMA-SAN PEDRO ALTO	1703KIA	corolla	TOYOTA	GRIS
61	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	2616LHH	sprinter carib	TOYOTA	BLANCO
62	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	5218EDR	ALTO	SUZUKI	GRIS
63	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4076DID	COROLLA AXIO	TOYOTA	PLATEADO
64	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4514UNL	VERSA	NISSAN	PLATA
65	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4095LAU	YARIS	TOYOTA	AZUL
66	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2231TUL	corolla	TOYOTA	BLANCO
67	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	985NKB	corolla	TOYOTA	ROJO
68	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4227XCF	corolla fielder	TOYOTA	PLATEADO
69	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1690FIT	COROLLA	TOYOTA	PLATEADO
70	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	5177BFD	COROLLA FIELDER	TOYOTA	PERLA
71	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1211TPX	coROLLA	TOYOTA	AZUL
72	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1818FEP	SPRINTER CARIB	TOYOTA	PLATEADO
73	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1230GRD	CORONA	TOYOTA	VERDE
74	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1602XRR	CALDINA	TOYOTA	PLATEADO
75	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1599BLB	CARIB	TOYOTA	BLANCO
76	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2192NGT	COROLLA SPACIO	TOYOTA	VERDE
77	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	5018GRB	J4	JAC	BLANCO
78	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2380EGL	PROBOX	TOYOTA	PLATEADO
79	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4735TAH	ALTO	SUZUKI	PLATA
80	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	3104YLG	PROBOX	TOYOTA	NEGRO
81	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	978RGG	COROLLA	TOYOTA	BLANCO
82	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1549XDI	CARIB	TOYOTA	VERDE
83	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	1769RAA	COROLLA	TOYOTA	BLANCO
84	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1534LTP	SPRINTER	TOYOTA	CREMA
85	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1048RZN	COROLLA	TOYOTA	BLANCO
86	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	5210KHP	F505	DONG FENG	BLANCO
87	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4988TCG	alto	SUZUKI	BLANCO
88	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4833YNR	ALTO	SUZUKI	PLATA
89	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1783XEN	COROLLA	TOYOTA	BLANCO
90	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1552EZD	sprinter	TOYOTA	BLANCO
91	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1176KFA	COROLLA	TOYOTA	BLANCO
92	Radio Taxi	SINDICATO DE TAXIS EN LA RUTA FIJA Nº 3 Y TAXIFONO	Sindicato	MACRODISTRITO 7 CENTRO-MIRAFLORES	1888IRL	Corolla	TOYOTA	BLANCO
93	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1940IPR	SPRINTER CARIB	TOYOTA	NEGRO
94	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1210RDA	corolla	TOYOTA	BLANCO
95	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1223FRS	COROLLA	TOYOTA	BLANCO
96	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1547TYY	CARIB	TOYOTA	PLATEADO
97	Radio Taxi	RADIO MOVIL CHUQUIAGO	Empresa	MACRODISTRITO 3 PERIFERICA-BARRIO GRAFICO	4228FDD	gc7	GEELY	PLATA
98	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2012XUS	STARLET	TOYOTA	PLATEADO
99	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4118IFA	YARIS	TOYOTA	PLATA METAL
100	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2070DBS	SPRINTER CARIB	TOYOTA	PLATEADO
101	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	3766KTD	SUCCEED	TOYOTA	PLATEADO
102	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	934SUN	COROLLA	TOYOTA	BLANCO
103	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4106NRE	COROLLA AXIO	TOYOTA	PLATEADO
104	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1779FPY	COROLLA	TOYOTA	PLATEADO
105	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1712YZG	SPRINTER	TOYOTA	BLANCO
106	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1415HPF	SPRINTER	TOYOTA	AZUL
107	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1705DZD	SPRINTER CARIB	TOYOTA	AZUL
108	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1709PCI	COROLLA	TOYOTA	BLANCO
109	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1820FPI	SPRINTER CARIB	TOYOTA	PLATEADO
110	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2146KFP	SPRINTER	TOYOTA	GRIS
111	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2217TFB	SPRINTER CARIB	TOYOTA	BURDEO
112	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	2594XCU	CALDINA	TOYOTA	GRIS
113	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	1228FFG	YARIS	TOYOTA	PLATEADO
114	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	5007BGU	EX80	KEYTON	AZUL
115	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4481PDC	PROBOX	TOYOTA	BLANCO
116	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4047LGD	PROBOX	TOYOTA	BLANCO
117	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	1858UYG	SPRINTER CARIB	TOYOTA	PLATEADO
118	Radio Taxi	RADIO MOVIL CRISTO REY	Empresa	MACRODISTRITO 1 COTAHUMA-SOPOCACHI ALTO	3038DEG	SPRINTER CARIB	TOYOTA	BLANCO
119	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	3450BEU	COROLLA	TOYOTA	GRIS
120	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	3149CBT	PROBOX	TOYOTA	BLANCO
121	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4522IKL	PROBOX	TOYOTA	AZUL
122	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4027TLC	WISH	TOYOTA	PLATEADO
123	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	2279DRF	COROLLA	TOYOTA	BURDEO
124	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	2361DTG	probox	TOYOTA	DORADO
125	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4047IBF	probox	TOYOTA	PLATEADO
126	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	3140FRL	COROLLA AXIO	TOYOTA	AZUL
127	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	1503CCH	SPRINTER	TOYOTA	VERDE
128	Radio Taxi	RADIO TAXI EMPERADOR S.R.L.	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	1668RHN	COROLLA	TOYOTA	BLANCO
129	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	995DIY	COROLLA	TOYOTA	VERDE METALICO
130	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2097CNT	starlet	TOYOTA	NEGRO
131	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4495YXN	sienta	TOYOTA	PERLA
132	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1452TCX	CALDINA	TOYOTA	VERDE
133	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	629NPR	COROLLA	TOYOTA	BLANCO
134	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4154FFF	MARCH	NISSAN	NEGRO
135	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4532YIH	celerio	SUZUKI	PLATA
136	Radio Taxi	RADIO TAXI DIAMOND	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA COPACABANA	1214UHF	MARINO	TOYOTA	VERDE PETROLEO
137	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2421EIL	PASSO	TOYOTA	PLATEADO
138	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4082KAE	F3	BYD	ROJO
139	RADIO TAXI	AXCELBO	Empresa	MACRODISTRITO 6 MALLASA-MALLASA	1657GLU	COROLLA	TOYOTA	VERDE
140	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2272ZIS	SPRINTER CARIB	TOYOTA	NEGRO
141	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	1451EGN	SPRINTER	TOYOTA	BLANCO
142	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	5218LIT	COROLLA FIELDER	TOYOTA	BLANCO
143	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4107ALL	MATRIX	TOYOTA	BLANCO
144	Radio Taxi	MOVIL HALCON DEL SUR	Empresa	MACRODISTRITO 5 SUR-BAJO LLOJETA(SUR)	1778INN	ipsum	TOYOTA	PLATEADO
145	Radio Taxi	MOVIL HALCON DEL SUR	Empresa	MACRODISTRITO 5 SUR-BAJO LLOJETA(SUR)	2059REC	SPRINTER	TOYOTA	PLATEADO
146	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	4981HXU	EX80	KEYTON	GRIS
147	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	2097KGH	BLUEBIRD	NISSAN	BLANCO
148	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	931URC	PRIMERA	NISSAN	VERDE
149	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	2911TET	RACTIS	TOYOTA	PLATEADO
150	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	1453TPU	SPRINTER	TOYOTA	PLATA
151	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	863ZKS	SPRINTER	TOYOTA	BEIGE
152	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	5176DFX	GRATOUR	FOTON	BLANCO
153	Radio Taxi	RADIO MOVIL ARMONIA	Empresa	MACRODISTRITO 4 SAN_ANTONIO-VILLA ARMONIA	4687FDF	HONOR	CHANGAN	PLATA
154	Radio Taxi	SAT - SERVIS	Empresa	MACRODISTRITO 4 SAN_ANTONIO-SAN ANTONIO	5325LSF	ex 80	KEYTON	AZUL
155	Radio Taxi	TRANS DIPLOMATICO	Empresa	MACRODISTRITO 7 CENTRO-MIRAFLORES	2220NTG	COROLLA	TOYOTA	BLANCO
156	Radio Taxi	RADIO MOVIL ALIANZA SUR	Empresa	MACRODISTRITO 5 SUR-AUQUISAMANA	4237KUX	f3	BYD	BLANCO
157	Radio Taxi	RADIO MOVIL ALIANZA SUR	Empresa	MACRODISTRITO 5 SUR-AUQUISAMANA	4759ZDK	gratour	FOTON	CHAMPAGNE
